PlayerId,PlayerName
1972,Vuye Cedric
1973,Lecat Nicolas
1974,Chitra Yohanes
1975,Wietholter Frederic
1976,Thierry Vincent
1977,Capelle Elodie
1978,Capelle Stephane
1979,Wietholter Benjamin
1980,Nou Leonard
1981,Lambert Olivier
1982,Jourdain Fabienne
1983,Lecureux Jean
1984,Terzi Alfredo
1985,Diodati Michele
1986,Lai Fabrizio
1987,Loffredo Lucia
1988,Strada Fabio
1989,Rampazzo Stefano
1990,Zieba Arkadiusz
1991,Verweij Dennis
1992,Seits Roy
1993,van den Berg Erwin
1994,de Jong Gabriel
1995,van den Hurk Yorick
1996,van Gimst Ruud
1997,Berkhof Frank
1998,de Boer Rosalinde
1999,Aubroeck Patrick
2000,Hoetjes Tim
2001,Verweij Samantha
2002,van Gimst Anja
2003,van den Akker Wilco
2004,Fransen Martin
2005,Janssens Daisy
2006,Boomstra Ronald
2007,Biard Patricia
2008,Dulfer Henk
2011,van der Weyde Esthe
2013,Lash Vi Tommie
2014,Zillig-Straatman El
2015,Verheij Danny
2018,Cruel+ (sasaki)
2019,Pirate (hughston)
2020,Artefact (bougeard)
2021,Sagratella Simone
2022,Di Giambattista Fra
2023,Britton Ron
2024,Jones Cindy
2025,Shih Christopher
2026,Jones Anthony
2027,Hoverstock Krystle
2028,Zaiki Yoshiyuki
2029,Tokuda Naoya
2030,Kashiwagi Atsui
2031,Cantamessa Pierre
2032,Cantamessa Alessand
2033,de Wael Jeroen
2034,Leclerc Sylvie
2035,Choong Darren
2036,Shen Stan
2037,Naylor Daniel
2038,Madrona Mario
2039,Platt Jared
2040,Peczkowski Pawel
2041,Nakahama Kumi
2042,Armatys Frank
2043,Ma Derek
2044,Chow Kase
2045,Olsen Leif B.
2046,Olsen Henrik
2047,Joergensen Jan
2048,Cairns Matt
2049,Halvorsen Luke
2050,Messaoudi Audric
2051,Ortegat Virginie
2052,Sneek Marcel
2054,Fu Velma
2055,Oh Joung-Mok
2055,Oh Joungmok
2056,Saiz Ruben
2057,Serrano Miguel Ange
2058,Ostman Mikael
2059,Bear (charron)
2060,Peperkamp Marcel
2061,Chung Jihoon
2062,Dantas Daniel
2063,Budino Ricardo
2064,Colombo Angelo
2065,Pellegrini Paola
2066,Sattin Francesca
2067,Di Mattei Alessandr
2068,Colombo Pietro
2069,Menin Alex
2070,Babolin Giancarlo
2071,Bandres Jorge
2072,Orta Pedro
2073,Vallejo Javier
2074,Habilis Isabel
2075,Santos Oscar
2076,Lozano Pedro
2077,Domingo Manel
2078,Parramon Joan
2079,Iwata Hiroyuki
2080,Kono Yuko
2081,Tiger (leung)
2082,Ljungqvist Daniel
2083,Sjostrom Hannes
2084,Eriksson Christian
2085,Kjellstadli Jonas
2086,Mikkelsen Dag Marti
2087,Tangen Tore L.
2088,Blackmur Joel
2091,Stoevring Pia
2092,Silvestri Cristina
2093,Di Bernardo Carmelo
2094,Palmieri Luca
2095,Tormene Enrico
2096,Soranzo Gabriele
2097,Acciaro Giuseppe
2099,Pomarolli Luigi
2106,Lefebvre Thierry
2107,Mauborne Landry
2108,Andersson Christoph
2109,Bautista Viktor
2110,Yano Masayuki
2111,Oshimizu Takanori
2112,Balaguer Demian
2113,Cases Salvador
2114,Garcia Fernando
2115,Olive Oriol
2116,Reininghaus Martin
2117,Malachewitz Dirk
2118,Vitouch Anatol
2119,Scholz Jakob
2120,Lagache Vincent
2121,van Vliet Andre
2122,Bos Arjen
2123,Kwok Wing Tang
2124,Budding Theo
2125,Enomoto Yasuhiro
2126,Iida Hiroshi
2127,Ito Yushi
2128,Tanaka Shuntaro
2129,Tatsumi Yukiko
2130,Tachiki Akira
2131,Yamagata Naohiro
2132,Ragnarsson Robin
2133,Ikeda Atsuhiko
2134,van de Moortel Frau
2135,Reunes Nick
2136,Di Paola Andrea
2137,van Gimst Simone
2138,Hermansen Kim
2139,Franzen Johan
2140,Hultman Max
2141,Roerade Jeroen
2142,Sneek Frank
2143,Ekstrand Marie
2144,Jacobsen Morten Joe
2145,Edmonds Cory
2146,Orozco Juan
2147,Bishop Robert
2148,Leino Riku
2149,Abrahamsson Simon
2150,Peiponen Janne
2151,Eriksson Fredrik
2152,Akerlind Josefin
2153,Eilertsen Jonas
2154,Nyberg Emil
2155,Klockars Daniel
2156,Jacobson Titti Anna
2157,Svegne Erik
2158,Wanjura Niklas
2159,Lilla Kamil
2160,Nowak Dominik
2161,Pierz Robert
2162,Kobylinski Grzegorz
2163,Kazimierczuk Marius
2164,Zaniewski Robert
2165,Kluz Przemyslaw
2166,Zieba Grzegorz
2167,Uzieblo Olgierd
2171,Tamaki Suguru
2172,Tsuchida Daisuke
2173,Helmes Sido
2174,de Boer Akke-lien
2175,Low Gene
2176,Ohuchi Yasuhiro
2178,Zieba Katarzyna
2179,Zieba Daniel
2180,Mardberg Lars
2182,Hamelin Paul
2183,Du Plessis Jean-Roc
2184,Wilson Timothy
2185,Ganeshkumar Ganesh
2186,Duffy Norm
2187,Cairns Nathan
2188,Dixon Nicole
2190,Cupial Milosz
2191,Druk Erez
2192,Dyachenko Denis
2193,Flaekoj Rune
2194,Ho Jan
2195,Kimura Keigo
2196,Lee Kwangwook
2198,Paw Kenneth
2199,Polonski Maciek
2200,Dolezal Vladislav
2201,Zimmermann Frank
2204,Frosoni Claudio
2208,Turini Fabiano
2212,Ottesen Andreas
2213,Brudevoll Oyvinn
2215,Engbraten Per-Helge
2216,Salim Sandroz
2217,MacGuire Steve
2218,Turner Kali
2219,Frederix Gijs
2220,Pettersson David
2221,Norlin Lars
2222,Johansson Victor
2224,Wikstrom Camilla
2225,Davidsson Kent
2227,Jorgensen Jan
2228,Yde Danny Fink
2229,Storm Henning
2232,Theodorsen Henning
2233,Aas Sigrun
2234,Greipenberg Greg
2235,Busetto Umberto
2236,Busetto Matteo
2237,Cum Sandro
2238,Camarda Walter
2239,Venuti Antonella
2240,Okamoto Kazuki
2241,Okuda Hiroyuki
2242,Nagasaki Hidekazu
2243,Sawaki Yusuke
2244,Satake Yosuke
2245,Nakano Shunsuke
2246,Takasaki Yutaro
2247,Date Yuji
2248,Izumi Takashi
2249,Ohike Yoshinori
2249,Oike Yoshinori
2250,Sudo Mai
2251,Aoki Miyuki
2252,Yamazaki Noriyuki
2253,Schmidt Olaf
2254,Edo Jose
2255,De Camargo Lucas C.
2255,De Camargo Lucas
2256,Klicek Zoran
2257,Wu Shuk Man Katie
2257,Pihlajapuro Katie
2258,Malnev Andrey
2259,Lorentzen Lasse
2260,Kim Seungsu
2261,Castellier Teddy
2262,Dande Roland
2263,Jonsson Eirikur
2264,Birgirsson Olessia
2265,Venturini Elio
2266,Saranga Roberto
2267,Maspes Claudio
2281,Watson James
2282,Allsop Fran
2283,Robison Aidan
2284,Poirier Antoine
2285,Rantanen Rami
2286,Di Pietro Massimo
2287,Calemme Marco
2288,Pontillo Roberto
2301,Karlsson Simon
2302,Bak Anne-Mette
2304,Pedersen Bo
